bet_id,event_id,odds_type,market_type,selection,odds,line,map_number,roi_average,fair_odds,actual_value,bet_status,stake,potential_win,actual_win,result_verified,created_at_bet,updated_at_bet,strategy,id,FI,bet365_key,home_team_id,away_team_id,league_name,match_date,match_timestamp,status,home_score,away_score,winner,created_at_event,updated_at_event,home_team,away_team,created_at,profit,is_pending
1,179606990,main,Map 1 - Totals,Over Total Inhibitors,1.66,1.5,,24.499999999999993,1.3333333333333333,3.0,won,1.0,0.6599999999999999,0.66,1,2025-08-21 22:32:28,2025-08-21 22:33:18,statistical,1,,,59,87,LOL - TCL Summer,2025-08-21 12:30:00,,finished,0,0,,2025-08-21 22:32:22,2025-10-15 17:18:25,Dark Passage,Papara SuperMassive,2025-08-21 22:32:28,0.66,False
2,179606990,main,Map 1 - Totals,Under Total Dragons,2.2,4.5,,48.500000000000014,1.4814814814814814,4.0,won,1.0,1.2000000000000002,1.2,1,2025-08-21 22:32:28,2025-08-21 22:33:18,statistical,1,,,59,87,LOL - TCL Summer,2025-08-21 12:30:00,,finished,0,0,,2025-08-21 22:32:22,2025-10-15 17:18:25,Dark Passage,Papara SuperMassive,2025-08-21 22:32:28,1.2,False
3,179606990,main,Map 1 - Totals,Under Total Towers,2.2,12.5,,76.00000000000001,1.25,12.0,won,1.0,1.2000000000000002,1.2,1,2025-08-21 22:32:28,2025-08-21 22:33:18,statistical,1,,,59,87,LOL - TCL Summer,2025-08-21 12:30:00,,finished,0,0,,2025-08-21 22:32:22,2025-10-15 17:18:25,Dark Passage,Papara SuperMassive,2025-08-21 22:32:28,1.2,False
4,179606999,main,Map 1 - Totals,Under Total Barons,1.3,1.5,,30.000000000000007,1.0,0.0,won,1.0,0.30000000000000004,0.3,1,2025-08-21 22:32:28,2025-08-23 21:07:50,statistical,2,,,171,23,LOL - TCL Summer,2025-08-22 13:30:00,,finished,0,0,,2025-08-21 22:32:22,2025-10-15 17:18:25,ULF Esports,Besiktas Esports,2025-08-21 22:32:28,0.3,False
5,179606999,main,Map 1 - Totals,Under Total Dragons,2.25,4.5,,87.5,1.2000000000000002,3.0,won,1.0,1.25,1.25,1,2025-08-21 22:32:28,2025-08-23 21:07:50,statistical,2,,,171,23,LOL - TCL Summer,2025-08-22 13:30:00,,finished,0,0,,2025-08-21 22:32:22,2025-10-15 17:18:25,ULF Esports,Besiktas Esports,2025-08-21 22:32:28,1.25,False
6,179606999,main,Map 1 - Totals,Under Total Inhibitors,2.25,1.5,,42.5,1.5789473684210527,1.0,won,1.0,1.25,1.25,1,2025-08-21 22:32:28,2025-08-23 21:07:50,statistical,2,,,171,23,LOL - TCL Summer,2025-08-22 13:30:00,,finished,0,0,,2025-08-21 22:32:22,2025-10-15 17:18:25,ULF Esports,Besiktas Esports,2025-08-21 22:32:28,1.25,False
7,179606999,main,Map 1 - Totals,Under Total Kills,1.83,30.5,,46.400000000000006,1.25,41.0,lost,1.0,0.8300000000000001,-1.0,1,2025-08-21 22:32:28,2025-08-23 21:07:50,statistical,2,,,171,23,LOL - TCL Summer,2025-08-22 13:30:00,,finished,0,0,,2025-08-21 22:32:22,2025-10-15 17:18:25,ULF Esports,Besiktas Esports,2025-08-21 22:32:28,-1.0,False
8,179606999,main,Map 1 - Totals,Under Total Towers,1.61,12.5,,44.900000000000006,1.1111111111111112,10.0,won,1.0,0.6100000000000001,0.61,1,2025-08-21 22:32:28,2025-08-23 21:07:50,statistical,2,,,171,23,LOL - TCL Summer,2025-08-22 13:30:00,,finished,0,0,,2025-08-21 22:32:22,2025-10-15 17:18:25,ULF Esports,Besiktas Esports,2025-08-21 22:32:28,0.61,False
9,179555503,main,Map 1 - Totals,Under Total Kills,1.83,34.5,,55.55,1.1764705882352942,31.0,won,1.0,0.8300000000000001,1.0,1,2025-08-21 22:32:28,2025-10-21 17:39:16,statistical,3,,,94,113,LOL - Rift Legends Summer,2025-08-23 14:00:00,,finished,2,1,home,2025-08-21 22:32:22,2025-10-15 17:18:25,DOCISK,Back2TheGame,2025-08-21 22:32:28,1.0,False
10,179555503,main,Map 1 - Totals,Under Total Towers,1.53,12.5,,37.699999999999996,1.1111111111111112,10.0,won,1.0,0.53,1.0,1,2025-08-21 22:32:28,2025-10-21 17:28:35,statistical,3,,,94,113,LOL - Rift Legends Summer,2025-08-23 14:00:00,,finished,2,1,home,2025-08-21 22:32:22,2025-10-15 17:18:25,DOCISK,Back2TheGame,2025-08-21 22:32:28,1.0,False
